saleID,batchID,productID,cost,openWeight,openPrice,closeWeight,closePrice,entryStatus,sorter,sharp,note,displayName,entryDate,_id,__v
67cea325c1b9ec0318583b04,67ceaa28c1b9ec0318585d46,67cea47fc1b9ec031858417b,5650,5,8000,0,8000,N,41,[],,▯ 5x3,2025-04-07T05:19:59.175Z,67f3607fc87523b4907b940e,0
67cea325c1b9ec0318583b04,67ceaa28c1b9ec0318585d46,67cea3bec1b9ec0318583db9,10400,12,15000,0,15000,N,42,[],,6x4,2025-04-07T05:20:45.354Z,67f360adc87523b4907b948c,0
67cea325c1b9ec0318583b04,67cea2c2c1b9ec0318583953,67ceab51c1b9ec031858614f,10850,10,15,0,15,N,43,"[""หยดน้ำ""]",,▢ 4 มิล,2025-04-08T02:51:26.231Z,67f48f2e5676aeff3b1fe754,0
681c2ce30ecb02003ba4652f,68245d6dc88fd33218b29b77,681c2d2f0ecb02003ba465f1,1000,22,22,22,22,Y,44,[],,ไซส์ 1 ก,2025-05-14T09:08:55.759Z,68245da7c88fd33218b29c5f,0
681c2ce30ecb02003ba4652f,681c36eb975f932a123ea371,681c2d2f0ecb02003ba465f1,1000,33,33,33,33,Y,45,[],,ไซส์ 1 ก,2025-05-14T09:08:59.640Z,68245dabc88fd33218b29ca7,0
681c2ce30ecb02003ba4652f,681c38193c0bba8f1987b333,681c2d2f0ecb02003ba465f1,1000,44,44,44,44,Y,46,[],,ไซส์ 1 ก,2025-05-14T09:09:03.346Z,68245dafc88fd33218b29cef,0
681c2ce30ecb02003ba4652f,68243dcbfdf247c6ee1278f5,6822bd75b8d2c17b9d29d549,500,55,55,55,55,Y,47,[],,ไซส์ 1 ก,2025-05-14T14:52:10.287Z,6824ae1a5e48349b1094ee08,0
68284aedcf8004e9952d0097,681c38193c0bba8f1987b333,6822bd75b8d2c17b9d29d549,500,100,2000,100,2000,Y,48,[],,ไซส์ 1 ก,2025-05-17T08:38:20.385Z,68284afccf8004e9952d015b,0
68284b00cf8004e9952d01a0,681c38193c0bba8f1987b333,681c2d2f0ecb02003ba465f1,1000,500,5000,500,5000,Y,49,[],,ไซส์ 1 ก,2025-05-17T08:38:55.731Z,68284b1fcf8004e9952d035d,0
68284aedcf8004e9952d0097,67cea6fdc1b9ec031858505b,68287c3e20fe53a3809001b7,4000,5000,5000,5000,5000,Y,50,[],,ไซส์ 1 ก,2025-05-17T12:08:39.864Z,68287c4720fe53a3809001d6,0
68284aedcf8004e9952d0097,68287ca4e13880c8038fa95f,68287c3e20fe53a3809001b7,4000,6000,6000,6000,6000,Y,51,[],,ไซส์ 1 ก,2025-05-17T12:10:23.378Z,68287cafe13880c8038fa970,0
682c1ba18da57138c5865ef8,682c1b788da57138c5865e44,6822bd75b8d2c17b9d29d549,500,10,600,10,600,Y,52,"[""ไข่""]",,ไซส์ 1 ก,2025-05-20T06:05:37.978Z,682c1bb18da57138c5865fc2,0
682c1ba18da57138c5865ef8,682c1c568da57138c5866261,6822bd75b8d2c17b9d29d549,500,20,600,20,600,Y,53,[],,ไซส์ 1 ก,2025-05-20T06:08:49.477Z,682c1c718da57138c5866302,0
682c1ba18da57138c5865ef8,682d4a02fc6de1284ba57173,68287c3e20fe53a3809001b7,4000,10,4500,10,4500,Y,54,[],,ไซส์ 1 ก,2025-05-21T05:49:54.505Z,682d69820f988362da3e2e51,0
682c1ba18da57138c5865ef8,682d4a0dfc6de1284ba57180,68287c3e20fe53a3809001b7,4000,10,4500,10,4500,Y,55,[],,ไซส์ 1 ก,2025-05-21T05:51:49.457Z,682d69f50f988362da3e305f,0
682c1ba18da57138c5865ef8,682c1c568da57138c5866261,681c2d2f0ecb02003ba465f1,1000,20,50000,20,50000,Y,56,[],,ไซส์ 1 ก,2025-06-26T03:41:35.758Z,685cc16fb32c29c5140f8f97,0
682c1ba18da57138c5865ef8,682c1b788da57138c5865e44,681c2d2f0ecb02003ba465f1,1000,23,2000,23,2000,Y,57,[],,ไซส์ 1 ก,2025-06-26T03:43:41.399Z,685cc1edb32c29c5140f9052,0
