grainID,originID,heatID,sorter,_id,__v
677cadc90930e80452a6e334,677caed20930e80452a6e33b,677cae610930e80452a6e338,1,67ce929af072a3a4b157d93e,0
677cadc90930e80452a6e334,677caed20930e80452a6e33b,677caec00930e80452a6e339,2,67ce92a4f072a3a4b157d94c,0
677cadc90930e80452a6e334,677caf300930e80452a6e33c,677cae610930e80452a6e338,3,67ce92adf072a3a4b157d95a,0
677cadc90930e80452a6e334,677caf300930e80452a6e33c,677caec00930e80452a6e339,4,67ce92b2f072a3a4b157d968,0
677cae1f0930e80452a6e335,677caed20930e80452a6e33b,677cae610930e80452a6e338,5,67ce92bef072a3a4b157d976,0
677cae1f0930e80452a6e335,677caed20930e80452a6e33b,677caec00930e80452a6e339,6,67ce92c3f072a3a4b157d984,0
677cae1f0930e80452a6e335,677caf300930e80452a6e33c,677cae610930e80452a6e338,7,67ce92c8f072a3a4b157d992,0
677cae1f0930e80452a6e335,677caf300930e80452a6e33c,677caec00930e80452a6e339,8,67ce92cdf072a3a4b157d9a0,0
677cae4c0930e80452a6e336,677caed20930e80452a6e33b,677cae610930e80452a6e338,9,67ce92d4f072a3a4b157d9ae,0
677cae4c0930e80452a6e336,677caed20930e80452a6e33b,677caec00930e80452a6e339,10,67ce92daf072a3a4b157d9bc,0
677cae4c0930e80452a6e336,677caf300930e80452a6e33c,677cae610930e80452a6e338,11,67ce92e0f072a3a4b157d9ca,0
677cae4c0930e80452a6e336,677caf300930e80452a6e33c,677caec00930e80452a6e339,12,68918c3bd3d41f5072a35314,0
677cae4c0930e80452a6e336,677caf300930e80452a6e33c,677caec00930e80452a6e339,12,67ce92e5f072a3a4b157d9d8,0
